PestName,ScientificName,HostCrop,RecommendedPesticide,ApplicationMethod
Yellow Mosaic Virus,Species 11. Genus,Jute,Thiophanate-methyl,Electrostatic Spray
Mealybug,Species 15. Genus,Mustard,Pyriproxyfen,Ultra-Low Volume
Yellow Mosaic Virus,Species 16. Genus,Mango,Chlorpyrifos,Dipping
Whitefly,Species 02. Genus,Maize,Fipronil,Spot Treatment
Stem Borer,Species 12. Genus,Rice,Azoxystrobin,Foliar Spray
Scale Insect,Species 12. Genus,Maize,Bacillus thuringiensis,Chemigation
Root Rot,Species 04. Genus,Soybean,Flubendiamide,Trunk Injection
Stem Borer,Species 11. Genus,Sugarcane,Azoxystrobin,Hand Spraying
Root Rot,Species 04. Genus,Cotton,Thiophanate-methyl,Chemigation
Nematode,Species 20. Genus,Sugarcane,Bacillus thuringiensis,Dust Application
Wilt,Species 08. Genus,Wheat,Pyriproxyfen,Spot Treatment
Leafhopper,Species 05. Genus,Rice,Imidacloprid,Thermal Fogging
Aphids,Species 17. Genus,Mustard,Deltamethrin,Trunk Injection
Scale Insect,Species 07. Genus,Mango,Imidacloprid,Aerosol
Armyworm,Species 09. Genus,Wheat,Mancozeb,Bait Application
Armyworm,Species 07. Genus,Gram,Metalaxyl,Soil Drench
Smut,Species 17. Genus,Soybean,Bacillus thuringiensis,Soil Drench
Fruit Fly,Species 16. Genus,Cotton,Spinetoram,Thermal Fogging
Thrips,Species 05. Genus,Rice,Metalaxyl,Trunk Injection
Thrips,Species 16. Genus,Potato,Chlorpyrifos,Micro-Encapsulation
Rust,Species 11. Genus,Maize,Azoxystrobin,Granular Soil
Aphids,Species 10. Genus,Sugarcane,Spinetoram,Foliar Spray
Bollworm,Species 11. Genus,Rice,Spinetoram,Thermal Fogging
Thrips,Species 03. Genus,Rice,Bacillus thuringiensis,Banding
Mites,Species 06. Genus,Rice,Flubendiamide,Foliar Spray
Scale Insect,Species 16. Genus,Mango,Azoxystrobin,Hand Spraying
Nematode,Species 20. Genus,Banana,Carbendazim,Chemigation
Scale Insect,Species 03. Genus,Cotton,Tebuconazole,Pressure Spray
Armyworm,Species 10. Genus,Soybean,Neem Oil,Ultra-Low Volume
Mites,Species 01. Genus,Cotton,Thiophanate-methyl,Bait Application
Stem Borer,Species 16. Genus,Wheat,Metalaxyl,Pressure Spray
Bollworm,Species 14. Genus,Tomato,Imidacloprid,Micro-Encapsulation
Wilt,Species 15. Genus,Cotton,Flubendiamide,Pressure Spray
Bollworm,Species 07. Genus,Banana,Fipronil,Bait Application
Armyworm,Species 07. Genus,Rice,Neem Oil,Soil Drench
Bollworm,Species 12. Genus,Maize,Cypermethrin,Root Dip
Wilt,Species 07. Genus,Mango,Thiophanate-methyl,Dipping
Nematode,Species 03. Genus,Maize,Pyriproxyfen,Pressure Spray
Stem Borer,Species 06. Genus,Maize,Lambda-cyhalothrin,Spot Treatment
Pod Borer,Species 06. Genus,Mustard,Bacillus thuringiensis,Electrostatic Spray
Blast,Species 20. Genus,Potato,Mancozeb,Dust Application
Leafhopper,Species 14. Genus,Wheat,Deltamethrin,Dust Application
Blast,Species 02. Genus,Cotton,Cypermethrin,Broadcast Spray
Stem Borer,Species 08. Genus,Chili,Chlorpyrifos,Ultra-Low Volume
Cutworm,Species 11. Genus,Cotton,Lambda-cyhalothrin,Bait Application
Smut,Species 12. Genus,Mango,Deltamethrin,Dipping
Nematode,Species 15. Genus,Wheat,Flubendiamide,Ultra-Low Volume
Fruit Fly,Species 13. Genus,Wheat,Metalaxyl,Trunk Injection
Mites,Species 15. Genus,Rice,Ethoprophos,Spot Treatment
Nematode,Species 16. Genus,Soybean,Ethoprophos,Seed Treatment
Yellow Mosaic Virus,Species 13. Genus,Cotton,Imidacloprid,Hand Spraying
Armyworm,Species 04. Genus,Rice,Fipronil,Dust Application
Root Rot,Species 14. Genus,Wheat,Imidacloprid,Pressure Spray
Bollworm,Species 18. Genus,Soybean,Spirotetramat,Electrostatic Spray
Pod Borer,Species 09. Genus,Maize,Bacillus thuringiensis,Aerosol
Leafhopper,Species 02. Genus,Soybean,Deltamethrin,Root Dip
Thrips,Species 13. Genus,Wheat,Metalaxyl,Soil Drench
Fruit Fly,Species 03. Genus,Cotton,Tebuconazole,Trunk Injection
Rust,Species 19. Genus,Coffee,Azoxystrobin,Granular Soil
Cutworm,Species 15. Genus,Tomato,Lambda-cyhalothrin,Micro-Encapsulation
Scale Insect,Species 20. Genus,Mango,Fipronil,Electrostatic Spray
Aphids,Species 06. Genus,Rice,Lambda-cyhalothrin,Electrostatic Spray
Scale Insect,Species 07. Genus,Cotton,Chlorpyrifos,Seed Treatment
Stem Borer,Species 16. Genus,Wheat,Fipronil,Foliar Spray
Fruit Fly,Species 13. Genus,Wheat,Bifenthrin,Chemigation
Scale Insect,Species 08. Genus,Rice,Imidacloprid,Spot Treatment
Pod Borer,Species 16. Genus,Groundnut,Pyriproxyfen,Foliar Spray
Aphids,Species 18. Genus,Soybean,Thiophanate-methyl,Soil Drench
Fruit Fly,Species 18. Genus,Onion,Bacillus thuringiensis,Electrostatic Spray
Scale Insect,Species 10. Genus,Soybean,Lambda-cyhalothrin,Aerosol
Pod Borer,Species 13. Genus,Soybean,Metalaxyl,Micro-Encapsulation
Whitefly,Species 08. Genus,Mango,Bifenthrin,Chemigation
Leafhopper,Species 12. Genus,Soybean,Neem Oil,Broadcast Spray
Mites,Species 17. Genus,Tomato,Cypermethrin,Dipping
Blast,Species 14. Genus,Mustard,Pyriproxyfen,Aerosol
Bollworm,Species 05. Genus,Soybean,Imidacloprid,Foliar Spray
Blast,Species 17. Genus,Cotton,Chlorpyrifos,Micro-Encapsulation
Whitefly,Species 17. Genus,Maize,Pyriproxyfen,Foliar Spray
Yellow Mosaic Virus,Species 01. Genus,Mango,Carbendazim,Trunk Injection
Yellow Mosaic Virus,Species 02. Genus,Tea,Lambda-cyhalothrin,Soil Drench
Cutworm,Species 14. Genus,Cotton,Imidacloprid,Hand Spraying
Stem Borer,Species 01. Genus,Soybean,Chlorpyrifos,Banding
Leafhopper,Species 11. Genus,Cotton,Chlorpyrifos,Micro-Encapsulation
Armyworm,Species 15. Genus,Rice,Chlorpyrifos,Dust Application
Cutworm,Species 09. Genus,Rice,Bacillus thuringiensis,Root Dip
Stem Borer,Species 17. Genus,Soybean,Azoxystrobin,Spot Treatment
Armyworm,Species 12. Genus,Rice,Bacillus thuringiensis,Soil Drench
Wilt,Species 16. Genus,Jute,Neem Oil,Hand Spraying
Armyworm,Species 11. Genus,Maize,Neem Oil,Dipping
Armyworm,Species 16. Genus,Cotton,Imidacloprid,Ultra-Low Volume
Wilt,Species 12. Genus,Cabbage,Pyriproxyfen,Bait Application
Wilt,Species 14. Genus,Rice,Neem Oil,Seed Treatment
Fruit Fly,Species 15. Genus,Tomato,Azoxystrobin,Broadcast Spray
Stem Borer,Species 17. Genus,Wheat,Neem Oil,Hand Spraying
Fruit Fly,Species 04. Genus,Soybean,Metalaxyl,Banding
Rust,Species 15. Genus,Soybean,Deltamethrin,Aerosol
Fruit Fly,Species 11. Genus,Soybean,Bifenthrin,Soil Drench
Smut,Species 02. Genus,Wheat,Bifenthrin,Dipping
Blast,Species 09. Genus,Wheat,Chlorpyrifos,Banding
Nematode,Species 05. Genus,Onion,Spinetoram,Spot Treatment
Wilt,Species 17. Genus,Lentil,Ethoprophos,Chemigation
Leafhopper,Species 04. Genus,Maize,Cypermethrin,Bait Application
Smut,Species 09. Genus,Gram,Pyriproxyfen,Electrostatic Spray
Aphids,Species 16. Genus,Potato,Imidacloprid,Aerosol
Stem Borer,Species 20. Genus,Wheat,Lambda-cyhalothrin,Aerosol
Leafhopper,Species 08. Genus,Banana,Lambda-cyhalothrin,Chemigation
Root Rot,Species 08. Genus,Cabbage,Neem Oil,Thermal Fogging
Mealybug,Species 15. Genus,Rice,Tebuconazole,Broadcast Spray
Root Rot,Species 04. Genus,Maize,Tebuconazole,Seed Treatment
Nematode,Species 03. Genus,Wheat,Spirotetramat,Granular Soil
Aphids,Species 13. Genus,Soybean,Ethoprophos,Seed Treatment
Leafhopper,Species 01. Genus,Gram,Carbendazim,Electrostatic Spray
Wilt,Species 15. Genus,Gram,Cypermethrin,Chemigation
Rust,Species 02. Genus,Rice,Carbendazim,Seed Treatment
Mites,Species 03. Genus,Wheat,Tebuconazole,Broadcast Spray
Mealybug,Species 01. Genus,Wheat,Imidacloprid,Soil Drench
Cutworm,Species 04. Genus,Cabbage,Bifenthrin,Hand Spraying
Fruit Fly,Species 13. Genus,Lentil,Mancozeb,Trunk Injection
Nematode,Species 20. Genus,Rice,Tebuconazole,Micro-Encapsulation
Bollworm,Species 09. Genus,Wheat,Carbendazim,Dust Application
Whitefly,Species 18. Genus,Onion,Ethoprophos,Thermal Fogging
Whitefly,Species 03. Genus,Maize,Bacillus thuringiensis,Banding
Mites,Species 05. Genus,Cabbage,Bifenthrin,Micro-Encapsulation
Whitefly,Species 11. Genus,Gram,Cypermethrin,Spot Treatment
Mealybug,Species 12. Genus,Wheat,Cypermethrin,Chemigation
Cutworm,Species 18. Genus,Wheat,Thiophanate-methyl,Broadcast Spray
Scale Insect,Species 20. Genus,Rice,Thiophanate-methyl,Spot Treatment
Smut,Species 10. Genus,Maize,Thiophanate-methyl,Spot Treatment
Mealybug,Species 19. Genus,Cotton,Ethoprophos,Soil Drench
Cutworm,Species 07. Genus,Tea,Bifenthrin,Spot Treatment
Root Rot,Species 04. Genus,Wheat,Lambda-cyhalothrin,Dipping
Armyworm,Species 14. Genus,Soybean,Bacillus thuringiensis,Pressure Spray
Nematode,Species 05. Genus,Wheat,Chlorpyrifos,Micro-Encapsulation
Stem Borer,Species 19. Genus,Sugarcane,Carbendazim,Ultra-Low Volume
Armyworm,Species 16. Genus,Cotton,Cypermethrin,Soil Drench
Mealybug,Species 02. Genus,Wheat,Bacillus thuringiensis,Chemigation
Pod Borer,Species 18. Genus,Wheat,Flubendiamide,Thermal Fogging
Leafhopper,Species 06. Genus,Wheat,Chlorpyrifos,Micro-Encapsulation
Armyworm,Species 13. Genus,Maize,Spinetoram,Ultra-Low Volume
Scale Insect,Species 11. Genus,Wheat,Tebuconazole,Micro-Encapsulation
Rust,Species 03. Genus,Chili,Spirotetramat,Seed Treatment
Scale Insect,Species 11. Genus,Cotton,Pyriproxyfen,Foliar Spray
Fruit Fly,Species 08. Genus,Maize,Imidacloprid,Aerosol
Smut,Species 13. Genus,Soybean,Lambda-cyhalothrin,Dipping
Root Rot,Species 02. Genus,Soybean,Deltamethrin,Dipping
Pod Borer,Species 15. Genus,Sugarcane,Spirotetramat,Bait Application
Bollworm,Species 03. Genus,Tomato,Spinetoram,Electrostatic Spray
Yellow Mosaic Virus,Species 01. Genus,Onion,Cypermethrin,Soil Drench
Wilt,Species 09. Genus,Banana,Spinetoram,Dust Application
Thrips,Species 15. Genus,Potato,Metalaxyl,Dipping
Thrips,Species 15. Genus,Cotton,Spinetoram,Foliar Spray
Leafhopper,Species 16. Genus,Maize,Neem Oil,Thermal Fogging
Whitefly,Species 04. Genus,Coffee,Flubendiamide,Electrostatic Spray
Cutworm,Species 10. Genus,Sugarcane,Imidacloprid,Dipping
Blast,Species 05. Genus,Maize,Bifenthrin,Pressure Spray
Rust,Species 16. Genus,Potato,Spirotetramat,Dust Application
Aphids,Species 09. Genus,Wheat,Fipronil,Chemigation
Pod Borer,Species 05. Genus,Groundnut,Deltamethrin,Trunk Injection
Nematode,Species 06. Genus,Sugarcane,Mancozeb,Spot Treatment
Pod Borer,Species 15. Genus,Cotton,Spinetoram,Seed Treatment
Blast,Species 19. Genus,Cotton,Deltamethrin,Trunk Injection
Bollworm,Species 05. Genus,Cotton,Carbendazim,Aerosol
Aphids,Species 09. Genus,Jute,Azoxystrobin,Dust Application
Yellow Mosaic Virus,Species 07. Genus,Cotton,Azoxystrobin,Dust Application
Blast,Species 13. Genus,Groundnut,Metalaxyl,Hand Spraying
Rust,Species 06. Genus,Gram,Cypermethrin,Micro-Encapsulation
Cutworm,Species 09. Genus,Rice,Metalaxyl,Root Dip
Rust,Species 17. Genus,Gram,Spirotetramat,Soil Drench
Smut,Species 14. Genus,Rice,Bifenthrin,Thermal Fogging
Nematode,Species 16. Genus,Cotton,Metalaxyl,Trunk Injection
Root Rot,Species 16. Genus,Coffee,Fipronil,Dust Application
Fruit Fly,Species 11. Genus,Mustard,Fipronil,Dipping
Yellow Mosaic Virus,Species 20. Genus,Maize,Spinetoram,Soil Drench
Yellow Mosaic Virus,Species 06. Genus,Jute,Ethoprophos,Micro-Encapsulation
Pod Borer,Species 14. Genus,Maize,Cypermethrin,Soil Drench
Pod Borer,Species 09. Genus,Potato,Cypermethrin,Foliar Spray
Wilt,Species 04. Genus,Maize,Imidacloprid,Hand Spraying
Rust,Species 11. Genus,Wheat,Tebuconazole,Dipping
Root Rot,Species 07. Genus,Gram,Pyriproxyfen,Bait Application
Blast,Species 13. Genus,Maize,Tebuconazole,Dipping
Thrips,Species 16. Genus,Rice,Carbendazim,Thermal Fogging
Stem Borer,Species 03. Genus,Maize,Bacillus thuringiensis,Broadcast Spray
Aphids,Species 20. Genus,Wheat,Metalaxyl,Root Dip
Mites,Species 03. Genus,Tomato,Deltamethrin,Thermal Fogging
Stem Borer,Species 17. Genus,Banana,Flubendiamide,Hand Spraying
Mealybug,Species 04. Genus,Coffee,Spirotetramat,Dust Application
Smut,Species 14. Genus,Onion,Flubendiamide,Micro-Encapsulation
Scale Insect,Species 18. Genus,Maize,Deltamethrin,Dust Application
Yellow Mosaic Virus,Species 15. Genus,Rice,Ethoprophos,Thermal Fogging
Root Rot,Species 11. Genus,Gram,Neem Oil,Granular Soil
Yellow Mosaic Virus,Species 10. Genus,Coffee,Pyriproxyfen,Granular Soil
Scale Insect,Species 09. Genus,Soybean,Tebuconazole,Spot Treatment
Whitefly,Species 16. Genus,Soybean,Bacillus thuringiensis,Trunk Injection
Yellow Mosaic Virus,Species 03. Genus,Wheat,Chlorpyrifos,Micro-Encapsulation
Fruit Fly,Species 16. Genus,Tea,Carbendazim,Bait Application
Yellow Mosaic Virus,Species 08. Genus,Gram,Chlorpyrifos,Hand Spraying
Leafhopper,Species 17. Genus,Onion,Bacillus thuringiensis,Dipping
Blast,Species 18. Genus,Tea,Fipronil,Seed Treatment
Armyworm,Species 18. Genus,Wheat,Imidacloprid,Dipping
Aphids,Species 02. Genus,Soybean,Cypermethrin,Trunk Injection
Whitefly,Species 13. Genus,Wheat,Pyriproxyfen,Chemigation
Blast,Species 20. Genus,Jute,Azoxystrobin,Spot Treatment
Bollworm,Species 19. Genus,Soybean,Lambda-cyhalothrin,Thermal Fogging
Mites,Species 01. Genus,Groundnut,Fipronil,Root Dip
Blast,Species 14. Genus,Jute,Neem Oil,Ultra-Low Volume
Mealybug,Species 15. Genus,Soybean,Mancozeb,Foliar Spray
Smut,Species 02. Genus,Mango,Spinetoram,Thermal Fogging
Armyworm,Species 19. Genus,Soybean,Thiophanate-methyl,Micro-Encapsulation
Armyworm,Species 04. Genus,Potato,Ethoprophos,Granular Soil
Rust,Species 17. Genus,Wheat,Spirotetramat,Bait Application
Aphids,Species 07. Genus,Coffee,Lambda-cyhalothrin,Ultra-Low Volume
Bollworm,Species 01. Genus,Wheat,Fipronil,Chemigation
Cutworm,Species 08. Genus,Mustard,Flubendiamide,Spot Treatment
Mites,Species 17. Genus,Lentil,Mancozeb,Root Dip
Bollworm,Species 14. Genus,Wheat,Bifenthrin,Aerosol
Thrips,Species 07. Genus,Chili,Neem Oil,Broadcast Spray
Armyworm,Species 07. Genus,Wheat,Imidacloprid,Aerosol
Whitefly,Species 02. Genus,Cabbage,Imidacloprid,Soil Drench
Scale Insect,Species 02. Genus,Maize,Bacillus thuringiensis,Micro-Encapsulation
Root Rot,Species 07. Genus,Soybean,Carbendazim,Dipping
Fruit Fly,Species 11. Genus,Soybean,Deltamethrin,Seed Treatment
Mealybug,Species 20. Genus,Groundnut,Imidacloprid,Ultra-Low Volume
Aphids,Species 17. Genus,Groundnut,Neem Oil,Micro-Encapsulation
Scale Insect,Species 14. Genus,Cotton,Chlorpyrifos,Dipping
Fruit Fly,Species 06. Genus,Rice,Imidacloprid,Dipping
Pod Borer,Species 07. Genus,Rice,Imidacloprid,Root Dip
Aphids,Species 05. Genus,Rice,Carbendazim,Foliar Spray
Scale Insect,Species 10. Genus,Cotton,Azoxystrobin,Micro-Encapsulation
Aphids,Species 09. Genus,Tea,Chlorpyrifos,Trunk Injection
Yellow Mosaic Virus,Species 14. Genus,Soybean,Neem Oil,Chemigation
Nematode,Species 11. Genus,Rice,Ethoprophos,Banding
Fruit Fly,Species 01. Genus,Onion,Neem Oil,Spot Treatment
Nematode,Species 15. Genus,Wheat,Imidacloprid,Root Dip
Thrips,Species 04. Genus,Mustard,Carbendazim,Spot Treatment
Mealybug,Species 03. Genus,Maize,Bifenthrin,Root Dip
Rust,Species 14. Genus,Onion,Tebuconazole,Seed Treatment
Bollworm,Species 09. Genus,Maize,Flubendiamide,Spot Treatment
Bollworm,Species 15. Genus,Rice,Chlorpyrifos,Broadcast Spray
Smut,Species 11. Genus,Cabbage,Neem Oil,Granular Soil
Cutworm,Species 14. Genus,Wheat,Carbendazim,Bait Application
Rust,Species 04. Genus,Mustard,Lambda-cyhalothrin,Banding
Whitefly,Species 19. Genus,Sugarcane,Fipronil,Dust Application
Thrips,Species 10. Genus,Cotton,Flubendiamide,Soil Drench
Nematode,Species 01. Genus,Maize,Mancozeb,Dipping
Leafhopper,Species 07. Genus,Maize,Spirotetramat,Seed Treatment
Armyworm,Species 04. Genus,Tomato,Fipronil,Root Dip
Rust,Species 19. Genus,Chili,Azoxystrobin,Dust Application
Mealybug,Species 09. Genus,Onion,Metalaxyl,Aerosol
Wilt,Species 13. Genus,Wheat,Flubendiamide,Dust Application
Armyworm,Species 03. Genus,Cotton,Lambda-cyhalothrin,Electrostatic Spray
Aphids,Species 05. Genus,Wheat,Pyriproxyfen,Granular Soil
Armyworm,Species 12. Genus,Mango,Cypermethrin,Electrostatic Spray
Mealybug,Species 10. Genus,Wheat,Ethoprophos,Root Dip
Rust,Species 14. Genus,Soybean,Mancozeb,Banding
Yellow Mosaic Virus,Species 11. Genus,Rice,Tebuconazole,Dust Application
Mites,Species 17. Genus,Jute,Azoxystrobin,Chemigation
Smut,Species 10. Genus,Cotton,Spinetoram,Micro-Encapsulation
Bollworm,Species 19. Genus,Maize,Fipronil,Hand Spraying
Yellow Mosaic Virus,Species 08. Genus,Lentil,Mancozeb,Seed Treatment
Rust,Species 06. Genus,Chili,Azoxystrobin,Granular Soil
Rust,Species 15. Genus,Soybean,Metalaxyl,Hand Spraying
Nematode,Species 03. Genus,Cotton,Cypermethrin,Pressure Spray
Wilt,Species 07. Genus,Wheat,Deltamethrin,Ultra-Low Volume
Rust,Species 04. Genus,Maize,Thiophanate-methyl,Hand Spraying
Rust,Species 12. Genus,Sugarcane,Cypermethrin,Pressure Spray
Root Rot,Species 01. Genus,Soybean,Pyriproxyfen,Seed Treatment
Nematode,Species 10. Genus,Potato,Lambda-cyhalothrin,Thermal Fogging
Whitefly,Species 10. Genus,Tea,Pyriproxyfen,Aerosol
Root Rot,Species 04. Genus,Tea,Fipronil,Dust Application
Bollworm,Species 07. Genus,Maize,Chlorpyrifos,Foliar Spray
Root Rot,Species 03. Genus,Mustard,Flubendiamide,Soil Drench
Cutworm,Species 08. Genus,Mustard,Chlorpyrifos,Aerosol
Aphids,Species 03. Genus,Rice,Azoxystrobin,Broadcast Spray
Thrips,Species 04. Genus,Onion,Ethoprophos,Bait Application
Scale Insect,Species 07. Genus,Chili,Thiophanate-methyl,Spot Treatment
Scale Insect,Species 14. Genus,Wheat,Neem Oil,Granular Soil
Armyworm,Species 01. Genus,Rice,Mancozeb,Chemigation
Nematode,Species 18. Genus,Soybean,Spirotetramat,Seed Treatment
Rust,Species 08. Genus,Coffee,Cypermethrin,Root Dip
Yellow Mosaic Virus,Species 15. Genus,Banana,Carbendazim,Pressure Spray
Pod Borer,Species 17. Genus,Jute,Ethoprophos,Micro-Encapsulation
Wilt,Species 16. Genus,Lentil,Thiophanate-methyl,Trunk Injection
Pod Borer,Species 08. Genus,Rice,Tebuconazole,Spot Treatment
Whitefly,Species 10. Genus,Soybean,Carbendazim,Thermal Fogging
Smut,Species 07. Genus,Onion,Neem Oil,Dust Application
Yellow Mosaic Virus,Species 08. Genus,Banana,Azoxystrobin,Dipping
Root Rot,Species 15. Genus,Lentil,Deltamethrin,Broadcast Spray
Leafhopper,Species 04. Genus,Mango,Spirotetramat,Bait Application
Wilt,Species 11. Genus,Rice,Pyriproxyfen,Dust Application
Yellow Mosaic Virus,Species 08. Genus,Wheat,Cypermethrin,Hand Spraying
Rust,Species 07. Genus,Sugarcane,Ethoprophos,Root Dip
Armyworm,Species 02. Genus,Cotton,Neem Oil,Hand Spraying
Smut,Species 10. Genus,Cotton,Carbendazim,Soil Drench
Nematode,Species 17. Genus,Wheat,Deltamethrin,Aerosol
Cutworm,Species 02. Genus,Wheat,Carbendazim,Aerosol
Aphids,Species 11. Genus,Rice,Pyriproxyfen,Foliar Spray
Mites,Species 19. Genus,Rice,Carbendazim,Spot Treatment
Root Rot,Species 17. Genus,Cotton,Azoxystrobin,Root Dip
Leafhopper,Species 11. Genus,Wheat,Ethoprophos,Seed Treatment
Nematode,Species 02. Genus,Soybean,Flubendiamide,Foliar Spray
Blast,Species 10. Genus,Soybean,Flubendiamide,Chemigation
Root Rot,Species 02. Genus,Soybean,Neem Oil,Bait Application
Root Rot,Species 07. Genus,Cotton,Mancozeb,Foliar Spray
Nematode,Species 07. Genus,Maize,Carbendazim,Aerosol
Leafhopper,Species 05. Genus,Coffee,Bifenthrin,Pressure Spray
Nematode,Species 11. Genus,Soybean,Ethoprophos,Broadcast Spray
Cutworm,Species 17. Genus,Soybean,Neem Oil,Broadcast Spray
Stem Borer,Species 04. Genus,Cotton,Tebuconazole,Trunk Injection
Thrips,Species 03. Genus,Soybean,Deltamethrin,Spot Treatment
Pod Borer,Species 11. Genus,Rice,Bifenthrin,Trunk Injection
Mealybug,Species 15. Genus,Maize,Azoxystrobin,Aerosol
Mites,Species 05. Genus,Rice,Pyriproxyfen,Trunk Injection
Smut,Species 07. Genus,Wheat,Flubendiamide,Dipping
Pod Borer,Species 20. Genus,Banana,Neem Oil,Aerosol
Whitefly,Species 12. Genus,Wheat,Carbendazim,Spot Treatment
Fruit Fly,Species 20. Genus,Gram,Spinetoram,Soil Drench
Cutworm,Species 12. Genus,Mustard,Tebuconazole,Root Dip
Root Rot,Species 01. Genus,Cabbage,Spinetoram,Chemigation
Thrips,Species 14. Genus,Jute,Fipronil,Granular Soil
Scale Insect,Species 17. Genus,Wheat,Chlorpyrifos,Root Dip
Armyworm,Species 16. Genus,Tea,Lambda-cyhalothrin,Seed Treatment
Whitefly,Species 17. Genus,Cotton,Tebuconazole,Chemigation
Wilt,Species 17. Genus,Cotton,Thiophanate-methyl,Broadcast Spray
Aphids,Species 14. Genus,Maize,Fipronil,Granular Soil
Fruit Fly,Species 04. Genus,Maize,Metalaxyl,Broadcast Spray
Whitefly,Species 06. Genus,Rice,Cypermethrin,Seed Treatment
Aphids,Species 01. Genus,Wheat,Mancozeb,Root Dip
Pod Borer,Species 11. Genus,Chili,Deltamethrin,Hand Spraying
Leafhopper,Species 14. Genus,Maize,Pyriproxyfen,Micro-Encapsulation
Root Rot,Species 06. Genus,Cabbage,Bifenthrin,Aerosol
Pod Borer,Species 03. Genus,Tomato,Cypermethrin,Ultra-Low Volume
Stem Borer,Species 08. Genus,Cotton,Tebuconazole,Seed Treatment
Aphids,Species 18. Genus,Rice,Mancozeb,Ultra-Low Volume
Thrips,Species 15. Genus,Rice,Pyriproxyfen,Ultra-Low Volume
