SoilType,pH_Range,OC_Level,N_Level,P_Level,K_Level,Predicted_Health_Class
Clay,Neutral,High,High,Adequate,Adequate,Good
Chalk,Acidic,Very Low,Excess,Deficient,Excess,Critical
Silt,Slightly Alkaline,High,High,Excess,High,Moderate
Silt,Alkaline,High,Low,Low,Deficient,Good
Clay,Slightly Alkaline,Very Low,Adequate,Deficient,Low,Moderate
Clay,Slightly Acidic,Medium,Low,Deficient,High,Excellent
Sand,Neutral,Very High,Low,Low,High,Moderate
Silt,Alkaline,High,Adequate,Excess,Low,Moderate
Silt,Neutral,Low,Deficient,Deficient,Adequate,Poor
Loam,Slightly Alkaline,Medium,Low,Adequate,Adequate,Excellent
Loam,Neutral,Very High,Excess,Deficient,High,Good
Clay,Acidic,Low,Low,Excess,High,Excellent
Chalk,Neutral,Very High,Excess,Deficient,High,Critical
Silt,Alkaline,Very Low,Excess,Deficient,Adequate,Critical
Silt,Alkaline,High,Deficient,Adequate,High,Excellent
Chalk,Slightly Alkaline,Low,High,Deficient,Deficient,Moderate
Loam,Slightly Alkaline,Medium,High,Deficient,Low,Moderate
Chalk,Slightly Acidic,Very Low,Adequate,Excess,High,Good
Clay,Alkaline,Medium,Low,Deficient,Low,Poor
Chalk,Acidic,Low,Deficient,Deficient,Low,Poor
Sand,Alkaline,Very High,Low,High,High,Poor
Loam,Acidic,Very Low,Low,Deficient,Excess,Critical
Loam,Alkaline,Very High,High,Excess,High,Critical
Clay,Neutral,Medium,Low,Deficient,Excess,Moderate
Sand,Slightly Alkaline,Very Low,Excess,Excess,High,Critical
Silt,Alkaline,Very Low,High,Adequate,Excess,Moderate
Chalk,Alkaline,Very High,Deficient,Adequate,Deficient,Moderate
Clay,Acidic,Very High,Adequate,Deficient,High,Good
Clay,Acidic,Very Low,Deficient,High,Low,Good
Sand,Acidic,Low,Deficient,Low,High,Excellent
Chalk,Alkaline,Low,Excess,Low,High,Moderate
Silt,Alkaline,Very Low,Excess,Low,Deficient,Moderate
Silt,Slightly Acidic,Low,Excess,Low,Low,Moderate
Clay,Slightly Acidic,Medium,Deficient,Deficient,Deficient,Good
Silt,Slightly Alkaline,Low,High,Low,Deficient,Moderate
Loam,Slightly Alkaline,Low,High,Low,High,Poor
Clay,Acidic,High,Low,Deficient,Deficient,Moderate
Chalk,Slightly Alkaline,High,Adequate,High,Low,Moderate
Loam,Slightly Alkaline,Low,Excess,High,Adequate,Poor
Chalk,Acidic,Low,Low,Deficient,Low,Good
Sand,Neutral,Very High,Low,Deficient,Excess,Good
Chalk,Neutral,Low,High,Deficient,Adequate,Good
Chalk,Slightly Alkaline,High,Deficient,Adequate,Excess,Critical
Chalk,Slightly Acidic,High,Adequate,High,Low,Moderate
Chalk,Slightly Acidic,Low,Deficient,Low,Low,Good
Silt,Acidic,High,Deficient,Deficient,Deficient,Good
Clay,Acidic,Very High,Excess,Low,Low,Poor
Loam,Acidic,Low,Excess,Adequate,High,Good
Clay,Slightly Alkaline,Very Low,High,Excess,Deficient,Critical
Silt,Slightly Acidic,Low,Deficient,Deficient,Adequate,Moderate
Silt,Slightly Acidic,Very High,Adequate,Adequate,Deficient,Excellent
Chalk,Slightly Alkaline,Medium,Excess,High,Excess,Good
Silt,Slightly Alkaline,Very Low,Excess,Adequate,High,Good
Clay,Slightly Alkaline,High,Low,High,Low,Good
Chalk,Neutral,High,High,Excess,Adequate,Good
Clay,Neutral,Low,Adequate,Low,Adequate,Moderate
Clay,Slightly Alkaline,Low,Adequate,Deficient,Deficient,Poor
Silt,Neutral,Very Low,Deficient,Adequate,High,Good
Silt,Neutral,Very High,Deficient,Deficient,Deficient,Moderate
Chalk,Acidic,High,Low,Low,Excess,Poor
Silt,Acidic,High,Excess,Adequate,Low,Poor
Loam,Acidic,High,High,Low,High,Critical
Clay,Neutral,Very High,Excess,High,High,Excellent
Clay,Alkaline,Very High,Excess,Adequate,High,Poor
Silt,Alkaline,Low,Deficient,Excess,Adequate,Moderate
Clay,Alkaline,Very Low,Low,High,Low,Moderate
Loam,Slightly Acidic,High,Adequate,Low,High,Poor
Silt,Slightly Acidic,High,High,Deficient,Low,Good
Clay,Acidic,Very Low,Adequate,Low,Excess,Moderate
Silt,Slightly Acidic,Very High,Deficient,Adequate,High,Good
Clay,Acidic,Very High,Low,Deficient,Excess,Moderate
Loam,Slightly Acidic,High,High,Deficient,High,Moderate
Silt,Slightly Acidic,Medium,Deficient,High,Adequate,Moderate
Sand,Slightly Acidic,Very High,High,High,Low,Moderate
Loam,Alkaline,Very High,Adequate,Adequate,Deficient,Good
Silt,Alkaline,Very Low,Excess,Adequate,High,Good
Clay,Alkaline,Very High,Adequate,High,Deficient,Critical
Sand,Neutral,Medium,High,Excess,Deficient,Poor
Loam,Acidic,Very High,Adequate,Low,Adequate,Moderate
Chalk,Neutral,Very Low,Low,Deficient,Low,Good
Sand,Slightly Acidic,Very High,Low,Low,High,Critical
Sand,Neutral,Very Low,Deficient,High,High,Good
Silt,Alkaline,Very Low,Adequate,Low,Deficient,Critical
Chalk,Slightly Alkaline,Medium,Deficient,Deficient,Low,Good
Chalk,Slightly Alkaline,Medium,High,High,Adequate,Moderate
Loam,Alkaline,Very High,Adequate,Low,Low,Good
Clay,Slightly Alkaline,High,Deficient,Excess,Low,Moderate
Sand,Acidic,Very High,Low,High,Deficient,Poor
Clay,Acidic,High,Adequate,Deficient,Low,Moderate
Sand,Acidic,Very Low,Excess,Low,Low,Moderate
Sand,Neutral,High,Deficient,Deficient,Excess,Moderate
Clay,Slightly Acidic,Medium,Adequate,High,Excess,Good
Chalk,Alkaline,Very High,Deficient,Excess,Adequate,Good
Clay,Acidic,Medium,Adequate,Adequate,Low,Poor
Silt,Slightly Alkaline,Very Low,Deficient,Low,High,Poor
Sand,Acidic,High,Excess,Adequate,High,Moderate
Clay,Alkaline,Very High,Adequate,Excess,Deficient,Good
Sand,Slightly Acidic,Very Low,Low,Excess,Excess,Good
Chalk,Acidic,High,Excess,Excess,Excess,Excellent
Clay,Slightly Acidic,High,Deficient,High,Low,Good
Sand,Alkaline,High,Excess,Low,Excess,Excellent
Chalk,Alkaline,Very High,Excess,Deficient,Excess,Good
Chalk,Slightly Acidic,Low,Adequate,Adequate,Deficient,Poor
Sand,Alkaline,Low,Excess,Excess,Deficient,Poor
Sand,Slightly Alkaline,Medium,Adequate,High,Adequate,Poor
Loam,Slightly Alkaline,Very High,Deficient,Adequate,High,Excellent
Sand,Slightly Acidic,Medium,Excess,High,Deficient,Critical
Loam,Acidic,Very Low,High,Adequate,Low,Good
Silt,Acidic,Very High,Low,Deficient,High,Good
Clay,Acidic,High,Deficient,Low,High,Good
Chalk,Slightly Acidic,High,Deficient,Adequate,High,Good
Loam,Slightly Acidic,Low,Adequate,Deficient,Adequate,Good
Sand,Alkaline,Low,Excess,Deficient,Adequate,Good
Loam,Neutral,High,Deficient,Adequate,High,Poor
Sand,Slightly Alkaline,Very High,High,High,Excess,Moderate
Chalk,Acidic,Low,Adequate,High,Deficient,Moderate
Sand,Acidic,Low,Adequate,Low,Deficient,Poor
Sand,Alkaline,Very High,Low,Excess,Excess,Good
Chalk,Slightly Alkaline,High,Low,Excess,Excess,Poor
Clay,Acidic,Low,Low,Deficient,Deficient,Good
Clay,Alkaline,Medium,Low,Deficient,Adequate,Poor
Loam,Neutral,Very High,Adequate,High,Deficient,Moderate
Sand,Slightly Alkaline,Low,Adequate,Excess,Low,Good
Loam,Neutral,Very Low,Deficient,High,Adequate,Poor
Silt,Slightly Acidic,High,Excess,Low,Excess,Good
Sand,Neutral,High,Low,Low,Low,Good
Loam,Alkaline,Very High,Low,High,Adequate,Poor
Chalk,Alkaline,High,Deficient,High,High,Excellent
Sand,Neutral,Low,Excess,High,Excess,Critical
Chalk,Slightly Alkaline,Very High,Low,Adequate,Deficient,Good
Silt,Alkaline,Very Low,Adequate,Excess,High,Poor
Loam,Slightly Alkaline,Low,High,Low,Deficient,Moderate
Silt,Slightly Alkaline,Very High,Deficient,Adequate,Adequate,Poor
Chalk,Slightly Acidic,Very Low,Low,High,Adequate,Moderate
Clay,Alkaline,Low,Adequate,Deficient,Low,Poor
Chalk,Slightly Alkaline,Medium,Deficient,Excess,High,Good
Silt,Neutral,Very Low,High,Excess,Low,Moderate
Clay,Neutral,Low,Low,Adequate,Low,Moderate
Sand,Acidic,High,High,High,High,Good
Silt,Slightly Acidic,High,Excess,High,Excess,Good
Sand,Alkaline,High,Deficient,Low,Low,Poor
Silt,Alkaline,Very Low,Deficient,Deficient,Deficient,Poor
Sand,Neutral,Low,Adequate,Adequate,Low,Good
Silt,Acidic,Very Low,Low,Deficient,Adequate,Excellent
Silt,Acidic,High,High,Low,Excess,Moderate
Clay,Alkaline,Low,Low,Low,Excess,Excellent
Loam,Neutral,Low,Excess,Low,Adequate,Moderate
Loam,Neutral,Very Low,Adequate,Deficient,Excess,Good
Clay,Neutral,High,Low,Adequate,Deficient,Good
Silt,Acidic,Very Low,Low,Low,Excess,Good
Loam,Neutral,Very High,Deficient,Low,Excess,Moderate
Chalk,Alkaline,Medium,Excess,Low,High,Moderate
Silt,Slightly Acidic,Very High,Low,Adequate,Low,Excellent
Sand,Slightly Alkaline,Very Low,High,Low,High,Moderate
Sand,Alkaline,Very High,Adequate,Excess,Deficient,Moderate
Silt,Slightly Acidic,Low,Deficient,Excess,Deficient,Poor
Chalk,Neutral,Very High,Deficient,Low,Low,Moderate
Silt,Alkaline,Very High,Excess,Excess,High,Critical
Clay,Slightly Acidic,Low,Low,Excess,Low,Moderate
Clay,Neutral,High,Excess,Adequate,Adequate,Critical
Silt,Slightly Acidic,Medium,Low,Low,Deficient,Good
Loam,Neutral,Medium,Deficient,Low,Adequate,Excellent
Sand,Neutral,Very Low,Adequate,Low,High,Good
Chalk,Neutral,Low,Excess,Adequate,Excess,Poor
Silt,Acidic,Very High,Adequate,Adequate,Low,Moderate
Sand,Alkaline,Very Low,Deficient,Adequate,Excess,Good
Loam,Acidic,Very Low,Deficient,Adequate,Excess,Moderate
Loam,Neutral,Very Low,Adequate,Deficient,Excess,Moderate
Silt,Slightly Alkaline,Very High,High,Low,Deficient,Moderate
Clay,Neutral,High,Low,Adequate,Low,Excellent
Clay,Slightly Acidic,Very Low,Excess,High,Excess,Moderate
Chalk,Slightly Alkaline,Very High,Excess,Low,Adequate,Excellent
Sand,Acidic,Very Low,Adequate,High,Deficient,Moderate
Chalk,Neutral,Medium,High,High,Adequate,Moderate
Sand,Slightly Acidic,Very Low,Deficient,High,Adequate,Moderate
Loam,Neutral,Medium,Deficient,Excess,Deficient,Moderate
Chalk,Acidic,Very High,High,High,Adequate,Excellent
Silt,Slightly Acidic,High,Adequate,Excess,High,Moderate
Chalk,Slightly Acidic,Medium,Adequate,Excess,Adequate,Good
Clay,Acidic,High,Deficient,Excess,Adequate,Moderate
Silt,Acidic,Medium,Low,Adequate,Low,Poor
Silt,Neutral,High,Deficient,High,Excess,Moderate
Loam,Alkaline,Low,Low,Deficient,Adequate,Good
Silt,Acidic,Very High,Adequate,Deficient,Excess,Good
Sand,Slightly Acidic,Very High,Adequate,Excess,Deficient,Good
Silt,Slightly Acidic,Low,Deficient,High,High,Good
Silt,Neutral,Low,Deficient,High,Adequate,Critical
Loam,Neutral,Very Low,High,High,Deficient,Good
Loam,Neutral,Medium,Excess,Low,Adequate,Good
Sand,Acidic,Low,Excess,Adequate,Excess,Moderate
Sand,Neutral,Medium,Adequate,Low,Adequate,Critical
Chalk,Neutral,Medium,Low,Deficient,Adequate,Good
Chalk,Slightly Acidic,High,Adequate,Low,High,Poor
Sand,Neutral,Very Low,Excess,Deficient,Deficient,Critical
Clay,Slightly Alkaline,High,High,Excess,Deficient,Good
Clay,Slightly Acidic,Very Low,Excess,Adequate,Deficient,Moderate
Loam,Slightly Acidic,Very High,Deficient,Deficient,Adequate,Poor
Sand,Slightly Alkaline,Very High,Low,Deficient,Adequate,Good
Loam,Acidic,Very Low,Excess,Adequate,High,Good
Sand,Acidic,High,Deficient,High,High,Good
Sand,Alkaline,Very High,Low,Deficient,Excess,Good
Silt,Acidic,Medium,Adequate,High,Adequate,Good
Clay,Acidic,Very High,Adequate,High,High,Moderate
Sand,Acidic,Very High,Excess,Deficient,Deficient,Good
Loam,Neutral,High,Excess,Low,Excess,Poor
Chalk,Acidic,Low,Adequate,Excess,Excess,Good
Loam,Neutral,Medium,Adequate,Excess,Excess,Moderate
Silt,Slightly Acidic,High,Adequate,Excess,Adequate,Moderate
Loam,Neutral,Medium,Excess,High,Adequate,Excellent
Sand,Slightly Acidic,High,Low,Excess,Low,Excellent
Chalk,Acidic,Very Low,High,Adequate,Adequate,Poor
Loam,Neutral,High,Deficient,Excess,High,Good
Sand,Neutral,Low,Adequate,Excess,Low,Good
Sand,Neutral,Low,Low,Adequate,High,Moderate
Clay,Slightly Alkaline,High,High,High,Low,Good
Silt,Neutral,Very Low,Low,Adequate,Excess,Poor
Clay,Alkaline,Low,Deficient,Adequate,Excess,Moderate
Chalk,Slightly Alkaline,Low,Deficient,Adequate,Adequate,Good
Loam,Acidic,Medium,Deficient,Deficient,Deficient,Poor
Sand,Neutral,Low,Adequate,High,Adequate,Good
Loam,Alkaline,Medium,High,Adequate,Low,Good
Clay,Slightly Alkaline,High,Adequate,Deficient,Low,Good
Sand,Neutral,High,Low,Deficient,Excess,Good
Chalk,Alkaline,Very High,Excess,Adequate,Adequate,Moderate
Loam,Slightly Acidic,Very High,Adequate,Deficient,Low,Moderate
Loam,Alkaline,High,Excess,High,Adequate,Poor
Chalk,Acidic,Very High,High,Excess,Low,Critical
Clay,Slightly Acidic,Very Low,Adequate,Low,Excess,Moderate
Silt,Alkaline,High,High,Low,Deficient,Poor
Loam,Slightly Acidic,Very High,Low,High,Adequate,Excellent
Clay,Slightly Alkaline,Medium,Excess,Low,High,Moderate
Loam,Alkaline,Very High,Excess,Deficient,Deficient,Good
Loam,Neutral,Low,Adequate,Excess,Low,Good
Chalk,Neutral,Low,Excess,Excess,Excess,Good
Silt,Neutral,Very Low,Adequate,Low,Adequate,Good
Silt,Slightly Acidic,Very High,Deficient,Adequate,Low,Poor
Chalk,Alkaline,Very High,Excess,Low,Adequate,Poor
Clay,Alkaline,Very Low,High,High,Deficient,Excellent
Silt,Acidic,High,Low,Excess,Adequate,Excellent
Chalk,Slightly Acidic,Very High,Adequate,High,Deficient,Excellent
Sand,Alkaline,Low,Excess,Low,Low,Good
Chalk,Slightly Acidic,Very Low,Excess,High,High,Moderate
Loam,Alkaline,Very Low,Adequate,Excess,Adequate,Moderate
Clay,Acidic,Very High,Deficient,Excess,Adequate,Moderate
Chalk,Alkaline,Medium,High,Low,Adequate,Good
Silt,Slightly Alkaline,High,High,Low,Excess,Critical
Clay,Slightly Alkaline,High,Deficient,High,Adequate,Critical
Chalk,Acidic,Very High,Low,Low,Adequate,Good
Silt,Neutral,High,Adequate,Excess,Deficient,Poor
Loam,Acidic,Very High,High,High,Low,Good
Chalk,Slightly Acidic,Low,High,High,High,Moderate
Sand,Slightly Alkaline,Very Low,High,Deficient,Low,Poor
Loam,Slightly Acidic,High,Adequate,Excess,High,Good
Sand,Acidic,Very Low,High,High,Low,Excellent
Sand,Neutral,Medium,Adequate,Excess,Excess,Poor
Silt,Slightly Acidic,Very High,Deficient,Deficient,Excess,Good
Loam,Neutral,High,Excess,Adequate,Low,Good
Loam,Alkaline,Very Low,Excess,Deficient,Excess,Critical
Sand,Neutral,Low,Deficient,Excess,Excess,Good
Clay,Neutral,Very Low,Low,Low,High,Moderate
Chalk,Neutral,Very High,Excess,Low,Low,Good
Loam,Alkaline,Medium,Deficient,Low,Low,Moderate
Sand,Acidic,Medium,Deficient,Deficient,Excess,Excellent
Silt,Alkaline,Medium,Low,Low,Low,Moderate
Clay,Slightly Acidic,Very Low,Adequate,Low,Low,Moderate
Chalk,Alkaline,Very High,Low,Low,Adequate,Good
Chalk,Slightly Alkaline,Very High,Deficient,Deficient,Adequate,Moderate
Clay,Neutral,Very Low,Low,Low,Excess,Moderate
Clay,Slightly Acidic,Medium,Excess,Adequate,Adequate,Moderate
Clay,Slightly Alkaline,High,Low,Deficient,Low,Moderate
Sand,Slightly Acidic,Very Low,High,High,Excess,Excellent
Clay,Acidic,Medium,Low,Deficient,Excess,Poor
Loam,Neutral,Very High,Excess,Excess,High,Moderate
Chalk,Acidic,Low,Low,Excess,High,Poor
Chalk,Slightly Acidic,High,High,Deficient,Excess,Moderate
Sand,Slightly Alkaline,Very High,High,Excess,High,Good
Chalk,Neutral,Medium,Low,Excess,Excess,Moderate
Chalk,Slightly Alkaline,High,Deficient,High,Adequate,Moderate
Chalk,Neutral,High,Deficient,Excess,Excess,Good
Clay,Alkaline,Medium,Excess,Adequate,Low,Poor
Silt,Alkaline,Low,Deficient,Deficient,Excess,Moderate
Sand,Neutral,Medium,Low,Low,Adequate,Poor
Sand,Neutral,Low,Excess,Deficient,Adequate,Good
Sand,Alkaline,Medium,High,High,Adequate,Excellent
Sand,Neutral,Low,Adequate,Adequate,Excess,Good
Clay,Neutral,High,Deficient,Deficient,Deficient,Moderate
Silt,Acidic,Very High,Excess,Excess,Adequate,Moderate
Sand,Slightly Acidic,Very High,High,Adequate,Adequate,Good
Sand,Neutral,Very Low,Deficient,High,Excess,Excellent
Loam,Neutral,High,Excess,Deficient,Low,Moderate
Loam,Slightly Acidic,Medium,Adequate,Excess,Excess,Critical
Loam,Slightly Alkaline,Very High,Low,Deficient,Low,Moderate
Loam,Acidic,Very Low,Excess,Excess,High,Poor
Chalk,Slightly Alkaline,Medium,Low,High,High,Good
Silt,Neutral,Low,Adequate,High,Low,Poor
Sand,Slightly Alkaline,Very High,Adequate,Deficient,Adequate,Moderate
Loam,Slightly Acidic,Very Low,High,Low,Adequate,Good
Loam,Acidic,Very Low,Excess,Low,Deficient,Excellent
Silt,Neutral,High,Low,Low,Low,Moderate
Sand,Acidic,Low,Adequate,Deficient,Low,Good
Chalk,Acidic,Very Low,Excess,Low,Deficient,Good
Loam,Slightly Alkaline,High,Low,Adequate,Excess,Moderate
Sand,Neutral,Very High,High,Low,Deficient,Moderate
Clay,Slightly Acidic,Medium,Deficient,Adequate,Adequate,Moderate
Sand,Acidic,High,Deficient,Adequate,Adequate,Good
Chalk,Slightly Alkaline,High,Excess,Excess,Deficient,Moderate
Chalk,Acidic,Low,Deficient,Adequate,High,Good
Loam,Slightly Alkaline,Medium,Excess,Deficient,Deficient,Moderate
Chalk,Slightly Acidic,Low,High,Deficient,Low,Excellent
Chalk,Alkaline,Low,Adequate,High,Deficient,Moderate
Chalk,Alkaline,High,Deficient,High,Adequate,Moderate
Chalk,Acidic,Very High,Low,Low,High,Good
Sand,Acidic,Very Low,Excess,Adequate,Low,Good
Clay,Alkaline,High,Deficient,Adequate,Excess,Moderate
Sand,Alkaline,Very High,Excess,High,Deficient,Good
Sand,Neutral,Very High,Excess,Excess,Deficient,Moderate
Clay,Slightly Acidic,Very Low,High,Deficient,Deficient,Poor
Silt,Neutral,Medium,Low,Excess,Deficient,Poor
Chalk,Slightly Acidic,Medium,Deficient,High,Adequate,Poor
Chalk,Slightly Acidic,Very Low,Deficient,Deficient,Excess,Moderate
Clay,Neutral,Low,Adequate,Deficient,Low,Good
Clay,Slightly Alkaline,High,Adequate,Adequate,Low,Critical
Chalk,Neutral,Medium,Adequate,Low,High,Poor
Loam,Neutral,Very Low,Excess,Low,Excess,Good
Loam,Neutral,Low,Deficient,Adequate,Adequate,Poor
Clay,Acidic,High,Low,Adequate,Deficient,Good
Clay,Slightly Acidic,High,Low,Low,Low,Excellent
Clay,Slightly Alkaline,Low,High,Excess,Low,Critical
Silt,Slightly Acidic,Low,Excess,Deficient,Excess,Critical
Silt,Acidic,High,Low,Low,Deficient,Poor
Clay,Acidic,Very High,High,Low,Low,Poor
Clay,Slightly Alkaline,Low,Deficient,Adequate,Deficient,Moderate
Chalk,Slightly Alkaline,Low,Adequate,Excess,Adequate,Moderate
Sand,Alkaline,Very High,High,Excess,Excess,Poor
Clay,Neutral,Very Low,Low,Excess,Excess,Critical
Loam,Slightly Acidic,Very High,Low,High,Adequate,Moderate
Sand,Alkaline,Very High,Deficient,High,Adequate,Excellent
Sand,Slightly Alkaline,Very Low,Deficient,Deficient,Low,Moderate
Silt,Neutral,Low,Deficient,Excess,Adequate,Moderate
Clay,Alkaline,Low,Adequate,High,Excess,Good
Loam,Slightly Acidic,Low,Deficient,Excess,Low,Moderate
Clay,Neutral,Medium,Deficient,High,Low,Poor
Silt,Slightly Alkaline,Medium,Deficient,High,Adequate,Poor
Chalk,Neutral,Very Low,Excess,Low,Low,Moderate
Clay,Alkaline,High,Excess,Low,Excess,Poor
Chalk,Neutral,High,Adequate,Deficient,High,Good
Chalk,Neutral,High,Deficient,Excess,Low,Moderate
Silt,Slightly Acidic,Low,High,High,Adequate,Moderate
Silt,Slightly Acidic,Very Low,High,Low,Low,Poor
Silt,Slightly Alkaline,Very Low,Deficient,Adequate,High,Good
Loam,Acidic,Medium,Low,Low,Low,Excellent
Clay,Alkaline,Medium,High,Adequate,Excess,Good
Sand,Slightly Acidic,Medium,Low,Adequate,High,Moderate
Chalk,Slightly Alkaline,Very Low,Deficient,Adequate,Deficient,Moderate
Sand,Alkaline,Very High,Adequate,Excess,Adequate,Critical
Sand,Alkaline,Low,Adequate,Low,Excess,Good
Chalk,Slightly Alkaline,Very High,Adequate,High,High,Poor
Loam,Slightly Alkaline,Low,Excess,Adequate,High,Poor
Silt,Acidic,High,Low,Deficient,High,Moderate
Silt,Acidic,High,Excess,High,High,Poor
Clay,Slightly Acidic,Medium,Low,Excess,Adequate,Good
Loam,Slightly Acidic,Low,Adequate,Adequate,Deficient,Good
Chalk,Acidic,Very Low,Adequate,Excess,High,Poor
Clay,Slightly Alkaline,Medium,Adequate,Adequate,High,Good
Sand,Slightly Alkaline,Low,Low,Deficient,Low,Critical
Clay,Acidic,Medium,Excess,Low,Deficient,Moderate
Sand,Slightly Alkaline,Very High,Deficient,Deficient,High,Moderate
Clay,Neutral,Medium,Deficient,High,Adequate,Poor
Clay,Alkaline,Very High,Excess,Adequate,Adequate,Moderate
Sand,Neutral,Very High,High,Deficient,Deficient,Good
Chalk,Slightly Alkaline,Very High,Excess,Deficient,Excess,Poor
Loam,Neutral,High,High,Deficient,Excess,Excellent
Loam,Slightly Acidic,High,High,Excess,Adequate,Moderate
Silt,Slightly Alkaline,Very High,High,Low,Excess,Moderate
Chalk,Neutral,Very Low,Adequate,High,Excess,Good
Sand,Slightly Acidic,Low,High,Low,High,Moderate
Clay,Acidic,Low,Deficient,Excess,Adequate,Good
Sand,Neutral,Very High,High,Excess,Low,Good
Silt,Slightly Alkaline,Medium,Adequate,High,Deficient,Poor
Loam,Alkaline,Very High,Excess,Low,Deficient,Good
Chalk,Slightly Alkaline,Very Low,Deficient,High,Excess,Moderate
Sand,Neutral,High,Adequate,Adequate,Low,Good
Chalk,Neutral,Very High,Excess,Excess,High,Moderate
Chalk,Slightly Acidic,Medium,Excess,Deficient,High,Moderate
Sand,Acidic,Very Low,High,Excess,Deficient,Poor
Loam,Alkaline,Very Low,Deficient,Deficient,Excess,Moderate
Chalk,Slightly Acidic,Medium,Low,Deficient,Adequate,Moderate
Chalk,Slightly Alkaline,High,Adequate,Low,High,Poor
Clay,Slightly Alkaline,Very Low,Excess,Excess,Excess,Poor
Silt,Slightly Alkaline,Medium,High,Excess,Low,Poor
Sand,Acidic,Very Low,Excess,Excess,Adequate,Excellent
Chalk,Slightly Alkaline,Very Low,Deficient,Deficient,Deficient,Good
Loam,Slightly Acidic,Very High,High,Adequate,Excess,Good
Chalk,Slightly Acidic,Medium,Adequate,High,Deficient,Critical
Silt,Slightly Alkaline,Medium,High,Excess,Adequate,Poor
Chalk,Neutral,Low,Excess,Excess,Deficient,Poor
Clay,Slightly Alkaline,Low,Low,Deficient,High,Good
Silt,Alkaline,Very Low,High,Deficient,High,Moderate
Chalk,Slightly Alkaline,Very Low,Low,Adequate,Excess,Good
Chalk,Neutral,High,Low,Adequate,High,Critical
Silt,Slightly Alkaline,High,Deficient,Low,Excess,Good
Clay,Neutral,Very Low,Low,Excess,Excess,Critical
Sand,Neutral,High,High,High,High,Critical
Clay,Alkaline,Low,Adequate,Adequate,Low,Excellent
Loam,Neutral,Very Low,Excess,Excess,Low,Moderate
Silt,Acidic,Low,High,Low,Low,Good
Chalk,Alkaline,Very High,Adequate,Excess,Deficient,Moderate
Loam,Slightly Acidic,Very Low,Deficient,Excess,Deficient,Poor
Silt,Slightly Alkaline,Very High,Low,Adequate,Excess,Poor
Chalk,Slightly Acidic,Low,High,High,Low,Moderate
Sand,Acidic,Medium,Deficient,Low,Low,Critical
Chalk,Slightly Alkaline,Very Low,High,Low,Adequate,Good
Loam,Slightly Alkaline,High,Deficient,Deficient,Excess,Good
Loam,Alkaline,Very Low,Deficient,Low,Adequate,Moderate
Loam,Slightly Acidic,Medium,Low,Low,High,Poor
Loam,Acidic,Low,Excess,Excess,Adequate,Poor
Silt,Neutral,Low,Deficient,Excess,High,Poor
Clay,Slightly Alkaline,High,Low,Adequate,High,Moderate
Chalk,Slightly Acidic,Medium,Low,Deficient,Excess,Good
